polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,podemos,cs,iu_u_pe_c,erc_cat_si,di_l,cdc,basque_nationalist_party,pacma,eh_bildu,cc
Simple Lógica,10/04/2016,12/04/2016,26/06/2016,1047,73.8,28.3,20.6,16.9,17.7,6.9,NA,NA,NA,NA,NA,NA,NA
IMOP,08/04/2016,10/04/2016,26/06/2016,1027,69,28.8,22.2,15.6,16.6,7.5,2.2,1.7,1.1,NA,0.7,NA,NA
Advice Strategic,08/04/2016,10/04/2016,26/06/2016,2500,NA,29.1,21.7,17.4,16,5.5,2.3,2,1.2,NA,NA,NA,NA
CIS,08/04/2016,10/04/2016,26/06/2016,2490,NA,27.4,21.6,17.7,15.6,5.4,2.5,1.9,1,NA,0.7,0.4,NA
NC Report,07/04/2016,09/04/2016,26/06/2016,2300,NA,29.6,21,20.4,15.5,4.4,2.3,1.5,1.3,NA,0.7,0.3,NA
GAD3,05/04/2016,07/04/2016,26/06/2016,800,68,29.2,23.3,15.5,14.4,6.7,2.3,2,1.1,NA,0.8,0.2,NA
Metroscopia,04/04/2016,06/04/2016,26/06/2016,1200,70,29,20.1,17,17.7,6.7,NA,NA,NA,NA,NA,NA,NA
DYM,30/03/2016,30/03/2016,26/06/2016,1036,NA,29.2,20.7,19.6,15.2,5.9,NA,NA,NA,NA,NA,NA,NA
Celeste-Tel,03/04/2016,05/04/2016,26/06/2016,1100,64.9,29.1,22.2,19.4,15.9,4.5,2.7,1.8,1.1,1,0.7,0.3,NA
Estudio de Sociología Consultores,28/03/2016,28/03/2016,26/06/2016,2300,NA,29.2,23.7,17.5,16.1,4.6,3,1.7,NA,NA,NA,NA,NA
Redondo & Asociados,28/03/2016,28/03/2016,26/06/2016,1000,69.7,29.1,21.8,19.1,15.7,4.9,2.4,1.7,1.3,NA,0.7,0.3,NA
NC Report,22/03/2016,22/03/2016,26/06/2016,1800,NA,29.4,21.8,19.2,15.5,4.6,2.4,1.6,1.3,NA,0.7,0.3,NA
InvyMark,28/03/2016,28/03/2016,26/06/2016,1200,NA,28.6,21.6,19.9,15.2,4.1,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,29/03/2016,31/03/2016,26/06/2016,800,NA,30.2,22,16.7,16.2,4.5,2.3,2.1,1.1,NA,NA,NA,NA
Metroscopia,28/03/2016,30/03/2016,26/06/2016,1200,73,27.7,21,15.9,18.8,6.9,NA,NA,NA,NA,NA,NA,NA
Netquest,28/03/2016,30/03/2016,26/06/2016,1002,NA,27.5,19.3,17.3,16.9,7.3,NA,NA,NA,NA,NA,NA,NA
NC Report,25/03/2016,27/03/2016,26/06/2016,900,NA,29.4,22,19.4,15.3,4.6,2.4,1.7,1.3,NA,0.7,0.3,NA
Encuestamos,18/03/2016,20/03/2016,26/06/2016,2000,NA,30.1,23.2,19.6,14.2,4.1,2.6,2.2,1.2,NA,0.6,0.3,NA
NC Report,15/03/2016,17/03/2016,26/06/2016,1000,64.7,29.3,22.1,19.5,15.1,4.4,2.3,1.8,1.2,NA,0.8,0.4,NA
MyWord,12/03/2016,14/03/2016,26/06/2016,1004,NA,27,20.9,15.9,18,7.1,NA,NA,NA,NA,NA,NA,NA
InvyMark,09/03/2016,11/03/2016,26/06/2016,NA,NA,28.5,20.8,21.5,14.3,4.3,NA,NA,NA,NA,NA,NA,NA
NC Report,09/03/2016,11/03/2016,26/06/2016,2300,NA,29.3,22,19.8,15.1,4.4,2.4,1.8,1.2,NA,0.8,0.3,NA
