polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,vox,sumar,erc,junts,basque_nationalist_party,eh_bildu,cup,c_ca,bng,upn,ev
GAD3,29/06/2023,29/06/2023,23/07/2023,5502,69,28.2,36.7,12.4,11.6,2.3,2,1.2,1.3,0.5,0.4,0.5,0.1,0.1
Data10,11/07/2023,11/07/2023,23/07/2023,1500,NA,26.2,35.3,13.7,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,09/07/2023,11/07/2023,23/07/2023,1000,64.4,27.8,36,12.4,12.2,2.7,2.1,1.4,1.3,0.7,NA,NA,NA,NA
ElectoPanel,09/07/2023,11/07/2023,23/07/2023,2788,NA,29.1,34,13.4,13.2,2,1.8,1.2,1.4,0.7,0.3,1.1,0.3,0.2
Sondaxe,09/07/2023,11/07/2023,23/07/2023,1000,NA,28.1,33.7,12.6,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,09/07/2023,11/07/2023,23/07/2023,2000,NA,29.5,31.2,14.7,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,09/07/2023,11/07/2023,23/07/2023,4455,71.5,28.6,34.4,13,12.7,2.1,2,1.1,1,NA,NA,NA,NA,NA
Target Point,09/07/2023,11/07/2023,23/07/2023,1263,NA,28.1,35.5,12.8,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Lógica,09/07/2023,11/07/2023,23/07/2023,1300,NA,28.8,31.1,14.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,5001,69,27.9,36.7,12,12,2.3,2,1.3,1.3,0.5,0.4,0.6,0.1,0.1
ElectoPanel,08/07/2023,10/07/2023,23/07/2023,1004,NA,29.6,33,13.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,08/07/2023,10/07/2023,23/07/2023,1021,NA,27.7,33.7,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,08/07/2023,10/07/2023,23/07/2023,1000,NA,28.1,33.1,13.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,08/07/2023,10/07/2023,23/07/2023,2000,NA,29.7,30.8,15.2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,08/07/2023,10/07/2023,23/07/2023,4482,72.3,28.6,34.6,12.7,12.3,2.2,2,1.1,1.1,NA,NA,NA,NA,NA
Simple Lógica,08/07/2023,10/07/2023,23/07/2023,997,NA,28.8,30.9,14.5,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,4003,69,28.6,36.3,12.3,12,2.2,1.9,1.2,1.3,0.5,0.4,0.5,0.1,0.1
ElectoPanel,07/07/2023,09/07/2023,23/07/2023,877,NA,29.6,32.8,13.5,13.3,2,1.7,1.4,1.4,0.6,0.4,1,0.3,0.4
Sondaxe,07/07/2023,09/07/2023,23/07/2023,1000,NA,27.7,33.7,14.5,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,07/07/2023,09/07/2023,23/07/2023,2500,NA,29.3,31,15,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,07/07/2023,09/07/2023,23/07/2023,800,NA,28.6,33.4,13.6,13,2.4,2,1.4,1.3,0.6,0.3,0.7,0.3,0.4
ElectoPanel,06/07/2023,08/07/2023,23/07/2023,NA,NA,29.5,32.5,14,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,06/07/2023,08/07/2023,23/07/2023,1000,NA,27.8,31.1,15.1,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,06/07/2023,08/07/2023,23/07/2023,2000,NA,29.2,31.4,14.7,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,06/07/2023,08/07/2023,23/07/2023,4506,71.8,28.3,34.9,12.8,12.5,2.1,2,1.1,1,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,4001,70,28.8,36.3,12.3,11.8,2.3,1.8,1.2,1.3,0.5,0.4,0.5,0.1,0.1
Data10,05/07/2023,07/07/2023,23/07/2023,1500,NA,25.5,34.4,14.2,13,2.5,2.3,1.6,1.4,0.6,0.4,0.9,0.3,0.1
Target Point,05/07/2023,07/07/2023,23/07/2023,1020,NA,28.2,34.9,13.3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,05/07/2023,07/07/2023,23/07/2023,1500,NA,29.3,31.5,14.9,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,05/07/2023,07/07/2023,23/07/2023,1000,65.1,27.4,35.7,12.6,12.4,2.8,2.1,1.4,1.3,0.7,NA,NA,NA,NA
Sondaxe,05/07/2023,07/07/2023,23/07/2023,1000,NA,26.9,30.4,15.6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,05/07/2023,07/07/2023,23/07/2023,NA,NA,26.1,32.4,14.3,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,05/07/2023,07/07/2023,23/07/2023,4533,71.7,28.2,35,12.8,12.5,2.2,2,1.1,1,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,3502,70,28.9,36.3,12.1,11.9,2.2,1.9,1.2,1.3,0.5,0.4,0.5,0.1,0.1
KeyData,06/07/2023,06/07/2023,23/07/2023,NA,69.3,27,33.7,13.9,13.1,2.6,2.1,1.4,1.4,0.7,NA,NA,NA,NA
IMOP,04/07/2023,06/07/2023,23/07/2023,1559,70,27.7,32.9,14.2,13,2.3,2.2,1.5,1.3,0.9,0.3,1,0.3,0.1
Ipsos,04/07/2023,06/07/2023,23/07/2023,2001,70,28.2,35.3,12.6,12.9,1.6,1.8,1.2,1.3,0.5,0.3,0.6,NA,0.3
Sigma Dos,30/06/2023,30/06/2023,23/07/2023,4518,71.9,28.4,34.7,12.7,12.6,2.1,2,1.2,1.1,NA,NA,NA,NA,NA
YouGov,29/06/2023,29/06/2023,23/07/2023,10480,NA,28,31,14,14,2,2,1,1,NA,NA,1,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,3001,69,28.6,36.4,12.2,12.2,2.1,1.8,1.2,1.3,0.5,0.4,0.5,0.1,0.1
Top Position,28/06/2023,28/06/2023,23/07/2023,3200,NA,28.1,34.2,13.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,03/07/2023,05/07/2023,23/07/2023,1000,NA,29.5,31.3,14.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,30/06/2023,30/06/2023,23/07/2023,4166,NA,31,29.6,11.7,15.5,1.7,1.1,1.1,1.2,0.6,0.1,0.8,0.2,0.1
ElectoPanel,29/06/2023,29/06/2023,23/07/2023,2003,NA,29.5,32,13.7,13.5,2,1.8,1.4,1.4,0.7,0.4,1,0.3,0.2
GAD3,29/06/2023,29/06/2023,23/07/2023,2502,70,28.5,36.4,12.2,12.3,2.1,1.8,1.2,1.3,0.5,0.4,0.5,0.1,0.1
GAD3,29/06/2023,29/06/2023,23/07/2023,2001,69,28.1,36.9,11.8,12.6,2.1,1.8,1.2,1.2,0.5,0.4,0.5,0.1,0.1
Opinòmetre,27/06/2023,27/06/2023,23/07/2023,1521,NA,29,32.6,12.7,15.5,2.2,1.8,NA,NA,0.9,NA,NA,NA,NA
Sigma Dos,24/06/2023,24/06/2023,23/07/2023,4501,71.8,28.8,34.3,13,12.6,2.1,2,1.2,1.1,NA,NA,NA,NA,NA
DYM,30/06/2023,30/06/2023,23/07/2023,1018,NA,27.8,32.8,13.6,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,1503,69,28.2,36.8,11.5,12.8,2.1,1.8,1.2,1.3,0.5,0.5,0.6,0.1,0.1
Sigma Dos,23/06/2023,23/06/2023,23/07/2023,2880,NA,28.5,34.7,13.2,12.8,2.4,2.2,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,25/06/2023,25/06/2023,23/07/2023,800,NA,27,32.6,14.4,12.9,2.5,2.1,1.6,1.5,0.6,0.4,0.6,0.3,0.6
Cluster17,30/06/2023,30/06/2023,23/07/2023,1447,NA,27.2,32.4,14.4,14.5,2.4,2.7,1.3,1.7,0.7,0.5,0.8,0.3,0.5
GAD3,28/06/2023,30/06/2023,23/07/2023,1004,70,28.4,36.6,11.5,12.6,2.2,1.8,1.3,1.3,0.5,0.5,0.6,0.1,0.1
NC Report,28/06/2023,30/06/2023,23/07/2023,1000,65.2,26.3,34.4,13.7,13.3,3,2.1,1.5,1.3,0.7,NA,NA,NA,NA
Sigma Dos,28/06/2023,30/06/2023,23/07/2023,2109,NA,28.2,34.4,13.5,12.8,2.7,2.4,1.5,1.2,NA,NA,NA,NA,NA
Data10,27/06/2023,29/06/2023,23/07/2023,1500,NA,24.5,34.2,14.6,13.4,2.6,2.4,1.6,1.4,0.7,0.4,1,0.2,0.1
IMOP,27/06/2023,29/06/2023,23/07/2023,1043,73,26.2,32.6,15.3,13.3,2.6,2.1,1.4,1.3,0.8,0.3,1.1,1.4,1
GAD3,26/06/2023,28/06/2023,23/07/2023,1005,70,28.5,36.6,11.6,12.7,2.2,1.6,1.2,1.3,0.5,0.4,0.6,0.1,0.1
ElectoPanel,26/06/2023,28/06/2023,23/07/2023,1812,NA,29,32.1,13.9,13.6,2,1.7,1.4,1.4,0.7,0.4,1,0.3,0.2
CIS (SocioMétrica),25/06/2023,27/06/2023,23/07/2023,29201,71.2,26.3,33.8,14.9,14.3,1.5,1.7,1.1,1.1,0.8,0.3,0.7,0,0.2
CIS,25/06/2023,27/06/2023,23/07/2023,29201,NA,31.2,31.4,10.6,16.4,1.6,1.1,1,1.2,0.6,0.3,1,NA,0.1
40dB,24/06/2023,26/06/2023,23/07/2023,2000,NA,28.7,30.9,15.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,24/06/2023,26/06/2023,23/07/2023,1522,NA,28.4,33.2,13.2,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,23/06/2023,25/06/2023,23/07/2023,800,NA,25.5,32.1,14.7,13.5,2.5,2.3,1.5,1.8,0.7,0.4,0.7,0.3,0.7
NC Report,22/06/2023,24/06/2023,23/07/2023,1000,65.3,25.9,34.3,13.9,13.1,3.1,2,1.6,1.3,0.8,NA,NA,NA,NA
Data10,21/06/2023,23/06/2023,23/07/2023,1500,NA,24,34.4,14.9,13.1,2.6,2.4,1.5,1.4,0.7,0.4,1.1,0.3,0.1
InvyMark,21/06/2023,23/06/2023,23/07/2023,1200,NA,24.7,31.8,15,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,21/06/2023,23/06/2023,23/07/2023,2188,NA,28.4,34,13.4,13.7,2.7,2.3,1.5,1.2,NA,NA,NA,NA,NA
KeyData,22/06/2023,22/06/2023,23/07/2023,NA,69.5,26.6,33.6,14.4,13,2.5,2.1,1.4,1.3,0.9,NA,NA,NA,NA
Celeste-Tel,19/06/2023,21/06/2023,23/07/2023,1100,65.1,26.7,34.2,14,12.8,3,2.3,1.5,1.3,0.9,0.3,0.9,0.3,0.1
ElectoPanel,19/06/2023,21/06/2023,23/07/2023,2807,NA,28,32.2,14.4,13.5,2.2,1.8,1.5,1.4,0.6,0.4,1,0.3,0.2
DYM,17/06/2023,19/06/2023,23/07/2023,1015,NA,27.6,33.8,13.3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,15/06/2023,17/06/2023,23/07/2023,1000,64.9,25.5,34.7,14.1,12.9,3,2,1.5,1.3,0.8,NA,NA,NA,NA
SocioMétrica,15/06/2023,17/06/2023,23/07/2023,800,NA,25.4,32.6,14.8,12.9,2.4,2.5,1.5,1.6,0.8,0.5,0.8,0.3,0.8
InvyMark,14/06/2023,16/06/2023,23/07/2023,1200,NA,24.1,32.1,14.8,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,14/06/2023,16/06/2023,23/07/2023,2977,NA,28.7,34.1,13.2,12.8,2.9,2.4,1.6,1.2,NA,NA,NA,NA,NA
Data10,13/06/2023,15/06/2023,23/07/2023,1500,NA,23.2,34.3,15.4,13.3,2.6,2.5,1.5,1.5,0.7,0.5,1,0.3,0.1
IMOP,13/06/2023,15/06/2023,23/07/2023,1008,NA,24.5,33.3,14.9,15,2.3,2.2,1.4,1.2,0.7,0.3,0.9,0.3,0.2
Hamalgama Métrica,13/06/2023,15/06/2023,23/07/2023,1000,NA,25.9,32.4,15.8,13.1,2.9,2.2,1.5,1.4,0.8,0.3,0.8,0.2,0.1
ElectoPanel,13/06/2023,15/06/2023,23/07/2023,3715,NA,26.9,32.5,14.8,14,2.2,1.8,1.5,1.3,0.7,0.4,1,0.3,0.2
40dB,12/06/2023,14/06/2023,23/07/2023,2000,NA,27.4,33.1,13.8,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,11/06/2023,13/06/2023,23/07/2023,1013,NA,26.6,32.6,13.9,13.4,2.5,2.2,2,1.7,NA,NA,0.9,NA,NA
Sigma Dos,11/06/2023,13/06/2023,23/07/2023,1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,08/06/2023,10/06/2023,23/07/2023,1010,NA,25.4,32.1,15,12.7,2.4,2.5,1.6,1.7,0.7,0.4,0.9,0.3,1.1
ElectoPanel,08/06/2023,10/06/2023,23/07/2023,3557,NA,25.9,31.4,16,14.8,2,1.8,1.5,1.4,0.7,0.4,1,0.3,0.2
Data10,06/06/2023,08/06/2023,23/07/2023,1500,NA,22.8,34.1,15.6,13.6,2.6,2.6,1.5,1.6,0.8,0.6,0.9,0.2,0.1
GAD3,06/06/2023,08/06/2023,23/07/2023,2007,70,27.7,36.6,12.4,11.2,2.3,1.9,1.3,1.4,0.8,0.5,0.7,0.1,0.1
Sigma Dos,06/06/2023,08/06/2023,23/07/2023,1711,NA,27.6,34.6,11.9,12.6,3,2.3,1.5,1.1,NA,NA,NA,NA,NA
Simple Lógica,06/06/2023,08/06/2023,23/07/2023,1027,73.4,27.9,34.1,14.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS (SocioMétrica),31/05/2023,31/05/2023,23/07/2023,7407,NA,26.9,33.5,15.9,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,31/05/2023,31/05/2023,23/07/2023,7407,NA,31.2,30.7,10.6,14.3,1.8,1.6,1.1,1.1,0.5,0.3,0.7,0.1,0.1
