type_elec,year,month,round (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum,Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.,Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.,Código I.N.E. del municipio (999 = C.E.R.A.),"Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito)",Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única),Censo del I.N.E.,Censo de escrutinio o censo C.E.R.A.,Censo C.E.R.E. en escrutinio (Residentes Extranjeros),Total votantes C.E.R.E. (Residentes Extranjeros),Votantes del primer avance de participación,Votantes del segundo avance de participación,Votos en blanco,Votos nulos,Votos a candidaturas,Votos afirmativos en Referéndum o ceros en otros procesos electorales,Votos negativos en Referéndum o ceros en otros procesos electorales,Datos oficiales (Si/No)
2,1982,10,1,1,11,12,1,0001,A,914,914,0,0,0,0,1,37,623,0,0,N
2,1982,10,1,1,11,12,3,0001,A,981,981,0,0,0,0,4,21,742,0,0,N
2,1982,10,1,1,11,12,3,0005,A,725,725,0,0,0,0,2,12,194,0,0,N
2,1982,10,1,1,11,12,4,0005,A,1433,1433,0,0,0,0,3,37,1013,0,0,N
2,1982,10,1,1,11,12,8,0001,A,1141,1141,0,0,0,0,7,14,853,0,0,N
2,1982,10,1,1,4,13,7,0008,A,733,733,0,0,0,0,1,6,617,0,0,N
2,1982,10,1,1,4,29,4,0001,A,320,320,0,0,0,0,1,6,186,0,0,N
2,1982,10,1,1,4,38,3,0004,A,1019,1019,0,0,0,0,1,8,736,0,0,N
2,1982,10,1,1,4,39,1,0001,A,223,223,0,0,0,0,0,1,80,0,0,N
2,1982,10,1,1,4,46,1,0002,A,368,368,0,0,0,0,0,4,295,0,0,N
2,1982,10,1,1,4,52,1,0002,A,861,861,0,0,0,0,4,12,671,0,0,N
2,1982,10,1,1,4,55,1,0001,A,530,530,0,0,0,0,0,5,479,0,0,N
2,1982,10,1,1,4,60,1,0001,A,571,571,0,0,0,0,0,8,379,0,0,N
2,1982,10,1,1,4,66,2,0001,A,338,338,0,0,0,0,0,3,237,0,0,N
2,1982,10,1,1,4,69,1,0002,B,1066,1066,0,0,0,0,0,15,885,0,0,N
2,1982,10,1,1,4,79,1,0001,A,606,606,0,0,0,0,1,9,491,0,0,N
2,1982,10,1,1,4,79,2,0005,A,679,679,0,0,0,0,1,16,504,0,0,N
2,1982,10,1,1,4,83,1,0001,A,466,466,0,0,0,0,0,3,273,0,0,N
2,1982,10,1,1,4,101,2,0001,A,630,630,0,0,0,0,1,4,528,0,0,N
2,1982,10,1,1,4,102,1,0004,A,506,506,0,0,0,0,0,5,344,0,0,N
2,1982,10,1,1,4,102,1,0004,B,712,712,0,0,0,0,1,4,490,0,0,N
2,1982,10,1,1,4,102,1,0005,A,576,576,0,0,0,0,0,4,328,0,0,N
2,1982,10,1,1,11,1,1,0002,A,561,561,0,0,0,0,0,6,379,0,0,N
2,1982,10,1,1,4,63,1,0001,A,976,976,0,0,0,0,0,11,682,0,0,N
2,1982,10,1,1,4,66,1,0004,A,609,609,0,0,0,0,0,8,461,0,0,N
2,1982,10,1,1,4,66,2,0003,A,204,204,0,0,0,0,0,0,125,0,0,N
2,1982,10,1,1,4,74,1,0001,A,817,817,0,0,0,0,1,8,630,0,0,N
2,1982,10,1,1,4,76,1,0001,B,558,558,0,0,0,0,1,3,447,0,0,N
2,1982,10,1,1,4,83,2,0001,A,476,476,0,0,0,0,0,0,279,0,0,N
2,1982,10,1,1,4,86,1,0001,A,504,504,0,0,0,0,1,3,331,0,0,N
2,1982,10,1,1,4,89,1,0001,A,679,679,0,0,0,0,2,6,466,0,0,N
2,1982,10,1,1,4,97,1,0001,A,308,308,0,0,0,0,0,3,234,0,0,N
2,1982,10,1,1,4,99,1,0002,B,614,614,0,0,0,0,1,3,443,0,0,N
2,1982,10,1,1,4,99,2,0001,A,323,323,0,0,0,0,0,3,209,0,0,N
2,1982,10,1,1,4,99,2,0003,A,358,358,0,0,0,0,1,9,202,0,0,N
2,1982,10,1,1,4,102,1,0002,A,695,695,0,0,0,0,4,6,511,0,0,N
2,1982,10,1,1,4,103,2,0001,A,832,832,0,0,0,0,1,5,636,0,0,N
2,1982,10,1,1,11,4,1,0001,A,743,743,0,0,0,0,3,3,612,0,0,N
2,1982,10,1,1,11,4,1,0016,A,618,618,0,0,0,0,0,7,507,0,0,N
2,1982,10,1,1,11,4,2,0007,A,676,676,0,0,0,0,1,13,472,0,0,N
2,1982,10,1,1,11,4,3,0008,A,1069,1069,0,0,0,0,0,9,826,0,0,N
