type_elec,year,month,round (en procesos a una sola vuelta = 1),"Código de la Comunidad Autónoma. En el caso de Total Nacional, llevará 99",Código I.N.E. de la provincia o 99 si se trata de datos a nivel Total Comunidad o Total Nacional,"Código del Distrito Electoral que corresponda o 9 en datos a nivel Total Provincial, Comunidad o Nacional",Código de la candidatura o del Senador,Votos obtenidos por la candidatura,Número de candidatos obtenidos por la candidatura
2,1982,10,1,8,37,9,47,253,0
2,1982,10,1,8,37,9,80,306,0
2,1982,10,1,8,47,9,15,11786,0
2,1982,10,1,9,8,9,12,1889,0
2,1982,10,1,9,8,9,14,40222,0
2,1982,10,1,9,8,9,33,8724,0
2,1982,10,1,9,8,9,60,2699,0
2,1982,10,1,9,17,9,37,161,0
2,1982,10,1,9,25,9,5,31832,1
2,1982,10,1,9,25,9,73,70821,2
2,1982,10,1,9,43,9,18,59677,1
2,1982,10,1,9,43,9,48,2042,0
2,1982,10,1,10,6,9,31,40,0
2,1982,10,1,10,6,9,81,30647,0
2,1982,10,1,10,99,9,27,26148,0
2,1982,10,1,10,99,9,81,60479,0
2,1982,10,1,1,4,9,72,119903,4
2,1982,10,1,1,11,9,38,0,0
2,1982,10,1,1,14,9,81,28414,0
2,1982,10,1,1,18,9,5,97554,2
2,1982,10,1,1,18,9,81,27897,0
2,1982,10,1,1,23,9,82,214,0
2,1982,10,1,1,29,9,61,1333,0
2,1982,10,1,1,29,9,81,19435,0
2,1982,10,1,1,99,9,31,22,0
2,1982,10,1,2,44,9,52,1124,0
2,1982,10,1,2,44,9,56,125,0
2,1982,10,1,2,99,9,47,99,0
2,1982,10,1,3,33,9,37,448,0
2,1982,10,1,4,7,9,77,144232,3
2,1982,10,1,4,99,9,80,509,0
2,1982,10,1,5,35,9,13,25792,0
2,1982,10,1,5,35,9,56,625,0
2,1982,10,1,5,38,9,64,2206,0
2,1982,10,1,5,99,9,69,0,0
2,1982,10,1,6,39,9,78,1760,0
2,1982,10,1,6,99,9,77,135987,3
2,1982,10,1,6,99,9,84,827,0
2,1982,10,1,7,2,9,19,193,0
2,1982,10,1,7,19,9,15,2919,0
2,1982,10,1,7,19,9,77,34212,2
2,1982,10,1,7,19,9,80,136,0
2,1982,10,1,7,45,9,77,138169,3
2,1982,10,1,8,5,9,19,153,0
2,1982,10,1,8,5,9,82,127,0
2,1982,10,1,8,9,9,43,28,0
2,1982,10,1,8,24,9,15,8052,0
2,1982,10,1,8,24,9,33,1106,0
2,1982,10,1,8,24,9,43,36,0
2,1982,10,1,8,24,9,63,1454,0
2,1982,10,1,8,34,9,55,2679,0
2,1982,10,1,8,37,9,3,8748,0
2,1982,10,1,8,40,9,38,0,0
2,1982,10,1,8,40,9,43,0,0
2,1982,10,1,8,99,9,19,1433,0
2,1982,10,1,8,99,9,68,3234,0
2,1982,10,1,9,8,9,15,49772,0
2,1982,10,1,9,8,9,16,3937,0
2,1982,10,1,9,8,9,54,41371,0
2,1982,10,1,9,8,9,82,1689,0
2,1982,10,1,9,17,9,12,478,0
2,1982,10,1,9,17,9,31,0,0
2,1982,10,1,9,17,9,56,330,0
2,1982,10,1,9,99,9,14,70235,0
2,1982,10,1,9,99,9,15,68395,0
2,1982,10,1,10,6,9,80,683,0
2,1982,10,1,10,10,9,45,2,0
2,1982,10,1,10,99,9,78,2905,0
2,1982,10,1,11,27,9,22,948,0
2,1982,10,1,1,11,9,33,1209,0
2,1982,10,1,1,14,9,53,37555,0
2,1982,10,1,1,18,9,37,0,0
2,1982,10,1,1,18,9,44,0,0
2,1982,10,1,1,18,9,80,454,0
2,1982,10,1,1,21,9,53,7976,0
2,1982,10,1,1,23,9,71,4750,0
2,1982,10,1,1,29,9,47,315,0
2,1982,10,1,1,29,9,80,929,0
2,1982,10,1,1,29,9,82,331,0
2,1982,10,1,1,41,9,31,0,0
2,1982,10,1,1,41,9,72,496543,8
2,1982,10,1,1,99,9,81,201402,0
2,1982,10,1,2,44,9,6,31779,1
2,1982,10,1,2,44,9,77,38834,2
2,1982,10,1,2,50,9,82,497,0
2,1982,10,1,2,99,9,15,30765,0
2,1982,10,1,3,99,9,55,53017,1
2,1982,10,1,3,99,9,80,897,0
2,1982,10,1,4,7,9,5,134444,3
2,1982,10,1,4,7,9,23,0,0
2,1982,10,1,4,7,9,61,1178,0
2,1982,10,1,4,7,9,80,509,0
2,1982,10,1,5,35,9,1,12625,0
2,1982,10,1,5,38,9,9,1131,0
2,1982,10,1,6,39,9,69,0,0
2,1982,10,1,6,99,9,69,0,0
2,1982,10,1,7,2,9,77,103328,3
2,1982,10,1,7,13,9,15,5543,0
2,1982,10,1,7,13,9,38,154,0
2,1982,10,1,7,16,9,15,2399,0
2,1982,10,1,7,19,9,5,33748,1
2,1982,10,1,7,45,9,5,98244,2
2,1982,10,1,7,45,9,42,0,0
2,1982,10,1,7,45,9,82,197,0
2,1982,10,1,7,99,9,38,154,0
2,1982,10,1,8,5,9,38,0,0
2,1982,10,1,8,9,9,5,90969,2
2,1982,10,1,8,24,9,77,133206,3
2,1982,10,1,8,24,9,81,46170,1
2,1982,10,1,8,34,9,77,49756,2
2,1982,10,1,8,40,9,5,35483,2
2,1982,10,1,8,40,9,82,142,0
2,1982,10,1,8,47,9,33,2229,0
2,1982,10,1,8,99,9,38,239,0
2,1982,10,1,9,8,9,71,6687,0
2,1982,10,1,9,17,9,26,15157,0
2,1982,10,1,9,25,9,16,255,0
2,1982,10,1,9,25,9,82,216,0
2,1982,10,1,9,43,9,54,2349,0
2,1982,10,1,9,99,9,79,158553,1
2,1982,10,1,10,6,9,5,85296,2
2,1982,10,1,10,6,9,55,15368,0
2,1982,10,1,1,4,9,33,1251,0
2,1982,10,1,1,4,9,69,0,0
2,1982,10,1,1,14,9,71,9270,0
2,1982,10,1,1,18,9,71,4939,0
2,1982,10,1,1,23,9,81,32456,0
2,1982,10,1,2,22,9,56,242,0
2,1982,10,1,2,50,9,80,667,0
2,1982,10,1,2,99,9,77,357339,9
2,1982,10,1,3,99,9,5,181965,3
2,1982,10,1,3,99,9,49,2493,0
2,1982,10,1,3,99,9,56,567,0
2,1982,10,1,4,7,9,15,18722,0
2,1982,10,1,4,7,9,76,8633,0
2,1982,10,1,4,99,9,5,134444,3
2,1982,10,1,4,99,9,33,879,0
2,1982,10,1,4,99,9,61,1178,0
2,1982,10,1,5,35,9,64,1051,0
2,1982,10,1,5,35,9,69,0,0
2,1982,10,1,5,38,9,78,3469,0
2,1982,10,1,5,99,9,37,1049,0
2,1982,10,1,5,99,9,62,0,0
2,1982,10,1,5,99,9,80,574,0
2,1982,10,1,6,39,9,55,9265,0
2,1982,10,1,6,99,9,31,0,0
2,1982,10,1,7,16,9,33,2868,0
2,1982,10,1,7,16,9,55,4257,0
2,1982,10,1,7,99,9,5,308969,8
2,1982,10,1,8,9,9,38,69,0
2,1982,10,1,8,47,9,55,9622,0
2,1982,10,1,8,99,9,31,46,0
2,1982,10,1,8,99,9,47,650,0
2,1982,10,1,9,8,9,18,560555,8
2,1982,10,1,9,99,9,31,0,0
